vessel_id,vessel,score,tier,why,first_action
V001,MV Alpha,85.5,High,"Repetition, Trend, Unresolved, Maintenance",Technical / Before next port call
V004,MV Delta,60.6,High,"Concentration, Trend, Unresolved, Repetition",Marine / 30 days
V019,MV Atlas,32.2,Medium,"Maintenance, Equipment, Repetition, Crew",Technical / 30 days
V007,MV Horizon,29.4,Medium,"Maintenance, Repetition, Equipment",Technical / 30 days
V013,MV Titan,25.1,Low,"Unresolved, Repetition",Vessel / Technical / 14 days
V016,MV Voyager,25.1,Low,no elevated dimension,routine
V014,MV Unity,25.0,Low,"Maintenance, Equipment",Technical / 30 days
V011,MV Ranger,24.8,Low,"Concentration, Crew",Marine / 30 days
V010,MV Quantum,21.5,Low,no elevated dimension,routine
V008,MV Orion,21.0,Low,Concentration,Marine / 30 days
V012,MV Sirius,20.1,Low,"Unresolved, Equipment",Vessel / Technical / 14 days
V017,MV Wave,20.1,Low,"Unresolved, Crew",Vessel / Technical / 14 days
V020,MV Neptune,19.7,Low,no elevated dimension,routine
V009,MV Pacific,19.0,Low,"Concentration, Crew, Equipment",Marine / 30 days
V002,MV Beta,18.9,Low,no elevated dimension,routine
V015,MV Vega,18.0,Low,no elevated dimension,routine
V003,MV Gamma,15.7,Low,no elevated dimension,routine
V018,MV Zenith,14.7,Low,no elevated dimension,routine
V005,MV Echo,12.6,Low,no elevated dimension,routine
V006,MV Falcon,12.4,Low,no elevated dimension,routine
